cellI,x,y,z,S,Ux,Uy,Uz
20454,0.038625,0.01044847087,0.000125,6.25e-08,0,0,0
20455,0.038875,0.01044847087,0.000125,6.25e-08,0,0,0
20456,0.039125,0.01044847087,0.000125,6.25e-08,0,0,0
20457,0.039375,0.01044847087,0.000125,6.25e-08,0,0,0
20458,0.039625,0.01044847087,0.000125,6.25e-08,0,0,0
20459,0.039875,0.01044847087,0.000125,6.25e-08,0,0,0
20460,0.040125,0.01044847087,0.000125,6.25e-08,0,0,0
20461,0.040375,0.01044847087,0.000125,6.25e-08,0,0,0
20462,0.040625,0.01044847087,0.000125,6.25e-08,0,0,0
20463,0.040875,0.01044847087,0.000125,6.25e-08,0,0,0
20464,0.041125,0.01044847087,0.000125,6.25e-08,0,0,0
20465,0.041375,0.01044847087,0.000125,6.25e-08,0,0,0
20466,0.041625,0.01044847087,0.000125,6.25e-08,0,0,0
20467,0.041875,0.01044847087,0.000125,6.25e-08,0,0,0
20468,0.042125,0.01044847087,0.000125,6.25e-08,0,0,0
20469,0.042375,0.01044847087,0.000125,6.25e-08,0,0,0
20470,0.042625,0.01044847087,0.000125,6.25e-08,0,0,0
20471,0.042875,0.01044847087,0.000125,6.25e-08,0,0,0
20472,0.043125,0.01044847087,0.000125,6.25e-08,0,0,0
20473,0.043375,0.01044847087,0.000125,6.25e-08,0,0,0
20474,0.043625,0.01044847087,0.000125,6.25e-08,0,0,0
20475,0.043875,0.01044847087,0.000125,6.25e-08,0,0,0
20476,0.044125,0.01044847087,0.000125,6.25e-08,0,0,0
20477,0.044375,0.01044847087,0.000125,6.25e-08,0,0,0
20478,0.044625,0.01044847087,0.000125,6.25e-08,0,0,0
20479,0.044875,0.01044847087,0.000125,6.25e-08,0,0,0
20480,0.045125,0.01044847087,0.000125,6.25e-08,0,0,0
20481,0.045375,0.01044847087,0.000125,6.25e-08,0,0,0
20482,0.045625,0.01044847087,0.000125,6.25e-08,0,0,0
20483,0.045875,0.01044847087,0.000125,6.25e-08,0,0,0
20484,0.046125,0.01044847087,0.000125,6.25e-08,0,0,0
20485,0.046375,0.01044847087,0.000125,6.25e-08,0,0,0
20486,0.046625,0.01044847087,0.000125,6.25e-08,0,0,0
20487,0.046875,0.01044847087,0.000125,6.25e-08,0,0,0
20488,0.047125,0.01044847087,0.000125,6.25e-08,0,0,0
20489,0.047375,0.01044847087,0.000125,6.25e-08,0,0,0
20490,0.047625,0.01044847087,0.000125,6.25e-08,0,0,0
20491,0.047875,0.01044847087,0.000125,6.25e-08,0,0,0
20492,0.048125,0.01044847087,0.000125,6.25e-08,0,0,0
20493,0.048375,0.01044847087,0.000125,6.25e-08,0,0,0
20494,0.048625,0.01044847087,0.000125,6.25e-08,0,0,0
20495,0.048875,0.01044847087,0.000125,6.25e-08,0,0,0
20496,0.049125,0.01044847087,0.000125,6.25e-08,0,0,0
20497,0.049375,0.01044847087,0.000125,6.25e-08,0,0,0
20498,0.049625,0.01044847087,0.000125,6.25e-08,0,0,0
20499,0.049875,0.01044847087,0.000125,6.25e-08,0,0,0
20500,0.050125,0.01044847087,0.000125,6.25e-08,0,0,0
20501,0.050375,0.01044847087,0.000125,6.25e-08,0,0,0
20502,0.050625,0.01044847087,0.000125,6.25e-08,0,0,0
20503,0.050875,0.01044847087,0.000125,6.25e-08,0,0,0
20504,0.051125,0.01044847087,0.000125,6.25e-08,0,0,0
20505,0.051375,0.01044847087,0.000125,6.25e-08,0,0,0
20506,0.051625,0.01044847087,0.000125,6.25e-08,0,0,0
20507,0.051875,0.01044847087,0.000125,6.25e-08,0,0,0
20508,0.052125,0.01044847087,0.000125,6.25e-08,0,0,0
20509,0.052375,0.01044847087,0.000125,6.25e-08,0,0,0
20510,0.052625,0.01044847087,0.000125,6.25e-08,0,0,0
20511,0.052875,0.01044847087,0.000125,6.25e-08,0,0,0
20512,0.053125,0.01044847087,0.000125,6.25e-08,0,0,0
20513,0.053375,0.01044847087,0.000125,6.25e-08,0,0,0
20514,0.053625,0.01044847087,0.000125,6.25e-08,0,0,0
20515,0.053875,0.01044847087,0.000125,6.25e-08,0,0,0
20516,0.054125,0.01044847087,0.000125,6.25e-08,0,0,0
20517,0.054375,0.01044847087,0.000125,6.25e-08,0,0,0
20518,0.054625,0.01044847087,0.000125,6.25e-08,0,0,0
20519,0.054875,0.01044847087,0.000125,6.25e-08,0,0,0
20520,0.055125,0.01044847087,0.000125,6.25e-08,0,0,0
20521,0.055375,0.01044847087,0.000125,6.25e-08,0,0,0
20522,0.055625,0.01044847087,0.000125,6.25e-08,0,0,0
20523,0.055875,0.01044847087,0.000125,6.25e-08,0,0,0
20524,0.056125,0.01044847087,0.000125,6.25e-08,0,0,0
