cellI,x,y,z,V,Ux,Uy,Uz
277,0.019375,0.000625,0.000125,1.5625e-11,100.2221521,0.1345292173,0
278,0.019625,0.000625,0.000125,1.5625e-11,100.2278435,0.1274645899,0
279,0.019875,0.000625,0.000125,1.5625e-11,100.2356214,0.1192052518,0
280,0.020125,0.000625,0.000125,1.5625e-11,100.2459051,0.1095270565,0
281,0.020375,0.000625,0.000125,1.5625e-11,100.2591951,0.09818162708,0
282,0.020625,0.000625,0.000125,1.5625e-11,100.2760797,0.0848483091,0
283,0.020875,0.000625,0.000125,1.5625e-11,100.297249,0.06909004548,0
284,0.021125,0.000625,0.000125,1.5625e-11,100.3235174,0.05030192538,0
285,0.021375,0.000625,0.000125,1.5625e-11,100.3558702,0.02776545654,0
286,0.021625,0.000625,0.000125,1.5625e-11,100.39559,0.0005853380644,0
287,0.021875,0.000625,0.000125,1.5625e-11,100.4441877,-0.03234275628,0
288,0.022125,0.000625,0.000125,1.5625e-11,100.5035114,-0.07274894214,0
289,0.022375,0.000625,0.000125,1.5625e-11,100.5760162,-0.1231408232,0
290,0.022625,0.000625,0.000125,1.5625e-11,100.6646302,-0.186212422,0
291,0.022875,0.000625,0.000125,1.5625e-11,100.7723041,-0.2654244926,0
292,0.023125,0.000625,0.000125,1.5625e-11,100.903273,-0.3654158849,0
293,0.023375,0.000625,0.000125,1.5625e-11,101.0609885,-0.4929393657,0
294,0.023625,0.000625,0.000125,1.5625e-11,101.2491457,-0.661015046,0
295,0.023875,0.000625,0.000125,1.5625e-11,101.4775875,-0.8855556753,0
296,0.024125,0.000625,0.000125,1.5625e-11,101.7238921,-1.192701131,0
297,0.024375,0.000625,0.000125,1.5625e-11,102.0038257,-1.616508885,0
298,0.024625,0.000625,0.000125,1.5625e-11,102.2484238,-2.221557889,0
299,0.024875,0.000625,0.000125,1.5625e-11,102.4946484,-3.036050852,0
300,0.000125,0.000875,0.000125,1.5625e-11,100.0011177,0.01155493073,0
301,0.000375,0.000875,0.000125,1.5625e-11,100.0065209,0.03229391387,0
302,0.000625,0.000875,0.000125,1.5625e-11,100.0160772,0.04901733442,0
303,0.000875,0.000875,0.000125,1.5625e-11,100.0266031,0.06269570871,0
304,0.001125,0.000875,0.000125,1.5625e-11,100.036812,0.0742037078,0
305,0.001375,0.000875,0.000125,1.5625e-11,100.0469431,0.08405006179,0
306,0.001625,0.000875,0.000125,1.5625e-11,100.0570986,0.09251289439,0
307,0.001875,0.000875,0.000125,1.5625e-11,100.067165,0.09988630997,0
308,0.002125,0.000875,0.000125,1.5625e-11,100.0770503,0.1063792302,0
309,0.002375,0.000875,0.000125,1.5625e-11,100.0867727,0.1121589662,0
310,0.002625,0.000875,0.000125,1.5625e-11,100.0963828,0.117336736,0
