# Residuals       
# Time            	Ux                	Uy                	p                 	k                 	omega             
151               	3.2708313469e-04	3.8166982734e-02	2.0545098327e-02	2.9095063458e-02	4.6433850216e-06
152               	3.2550216650e-04	3.6306847749e-02	2.0294743130e-02	2.8992567289e-02	4.3346777351e-06
153               	3.1546807169e-04	3.7636284054e-02	2.0007197029e-02	2.9127323450e-02	4.3341329885e-06
154               	3.1338871080e-04	3.5553947533e-02	1.9834288630e-02	2.9062688851e-02	4.0609933552e-06
155               	3.0290187768e-04	3.6834429593e-02	1.9590393753e-02	2.9229224306e-02	4.0246656633e-06
156               	3.0400232333e-04	3.4577682613e-02	1.9400016270e-02	2.9086718691e-02	3.8125031438e-06
157               	2.9507318057e-04	3.5705108428e-02	1.9167197124e-02	2.9278361661e-02	3.7938135787e-06
158               	2.9764490823e-04	3.3483294881e-02	1.8988500558e-02	2.9175419930e-02	3.6540335202e-06
159               	2.8889787981e-04	3.4418578819e-02	1.8731444436e-02	2.9228288787e-02	3.6652191900e-06
160               	2.9042015447e-04	3.2326405957e-02	1.8524163356e-02	2.9184557944e-02	3.5754721798e-06
161               	2.8155033203e-04	3.3111935302e-02	1.8272875234e-02	2.9273421656e-02	3.6110581999e-06
162               	2.8272600256e-04	3.1415478838e-02	1.8083279188e-02	2.9233982078e-02	3.5670398060e-06
163               	2.7330467158e-04	3.2074319882e-02	1.7843283676e-02	2.9433982582e-02	3.6234202949e-06
164               	2.7372256903e-04	3.0730548296e-02	1.7709850853e-02	2.9318401443e-02	3.5521986065e-06
165               	2.6344886804e-04	3.1357183467e-02	1.7500016239e-02	2.9397465836e-02	3.6109854920e-06
166               	2.6382834929e-04	3.0251615539e-02	1.7425353589e-02	2.9313730396e-02	3.5863375404e-06
167               	2.5321559044e-04	3.0800376878e-02	1.7249434757e-02	2.9467812358e-02	3.6085756789e-06
168               	2.5375013487e-04	2.9745058080e-02	1.7189999435e-02	2.9413583880e-02	3.5755971079e-06
169               	2.4335917528e-04	3.0185444410e-02	1.6988836509e-02	2.9524964494e-02	3.5376543333e-06
170               	2.4458665035e-04	2.9264681450e-02	1.6908688020e-02	2.9359559162e-02	3.4584175919e-06
171               	2.3456497859e-04	2.9673725801e-02	1.6669684222e-02	2.9551700506e-02	3.3752133529e-06
172               	2.3765229087e-04	2.8783664501e-02	1.6584350482e-02	2.9450053233e-02	3.2204104837e-06
173               	2.2791912402e-04	2.9077257100e-02	1.6327701098e-02	2.9493262285e-02	3.1305749168e-06
174               	2.3177746115e-04	2.8213857095e-02	1.6229342858e-02	2.9428751457e-02	2.9536467574e-06
175               	2.2200917780e-04	2.8438009614e-02	1.5964940735e-02	2.9586932874e-02	2.9059427608e-06
176               	2.2636094036e-04	2.7551051797e-02	1.5823708548e-02	2.9482057842e-02	2.7460799175e-06
177               	2.1728706751e-04	2.7774066585e-02	1.5612856448e-02	2.9495057947e-02	2.7559461489e-06
178               	2.2175759757e-04	2.6921972158e-02	1.5529362583e-02	2.9461647417e-02	2.6166921250e-06
179               	2.1341300656e-04	2.7163779549e-02	1.5382073093e-02	2.9584366353e-02	2.6467091544e-06
180               	2.1707960340e-04	2.6258554004e-02	1.5314646019e-02	2.9520972830e-02	2.5036491430e-06
181               	2.0903234588e-04	2.6651390350e-02	1.5193382640e-02	2.9678195230e-02	2.5481242618e-06
182               	2.1141217924e-04	2.5569859812e-02	1.5089770856e-02	2.9547813592e-02	2.3820766932e-06
183               	2.0403502421e-04	2.6146645281e-02	1.4975805169e-02	2.9632062514e-02	2.4135094509e-06
184               	2.0517040354e-04	2.4958572872e-02	1.4850554160e-02	2.9499130806e-02	2.2226682270e-06
185               	1.9823166948e-04	2.5657721333e-02	1.4726809848e-02	2.9622822069e-02	2.2552285719e-06
186               	1.9956620785e-04	2.4417790378e-02	1.4577344594e-02	2.9599941616e-02	2.1201179449e-06
187               	1.9307986847e-04	2.5199445765e-02	1.4427861645e-02	2.9677513160e-02	2.1632664604e-06
188               	1.9515999491e-04	2.3986221229e-02	1.4242927279e-02	2.9625856143e-02	2.0822760862e-06
189               	1.8869018886e-04	2.4819525551e-02	1.4078952933e-02	2.9708999019e-02	2.1228389329e-06
190               	1.9098186078e-04	2.3611937312e-02	1.3876426266e-02	2.9577579815e-02	2.0557276863e-06
191               	1.8512634806e-04	2.4412818578e-02	1.3701612851e-02	2.9697203175e-02	2.0896389570e-06
192               	1.8763378799e-04	2.3194876137e-02	1.3492859228e-02	2.9681894348e-02	2.0297709717e-06
193               	1.8150402750e-04	2.3892992783e-02	1.3350238421e-02	2.9766014008e-02	2.0621734758e-06
194               	1.8421674620e-04	2.2680017866e-02	1.3168672023e-02	2.9674690626e-02	2.0066705792e-06
195               	1.7788846636e-04	2.3276587153e-02	1.3085872563e-02	2.9795620824e-02	2.0529783178e-06
196               	1.8059034819e-04	2.2119734505e-02	1.2952096300e-02	2.9702534594e-02	2.0206367548e-06
197               	1.7363285544e-04	2.2611024521e-02	1.2875168521e-02	2.9852977189e-02	2.0668641772e-06
198               	1.7581587782e-04	2.1542350241e-02	1.2758350024e-02	2.9726330803e-02	2.0398742696e-06
199               	1.6866871059e-04	2.1979159200e-02	1.2676499098e-02	2.9835783889e-02	2.0681268520e-06
200               	1.7068043983e-04	2.1100439450e-02	1.2575513147e-02	2.9784153688e-02	2.0134642627e-06
201               	1.6317392308e-04	2.1455962907e-02	1.2494652925e-02	2.9893593133e-02	2.0103529430e-06
202               	1.6566578853e-04	2.0767573126e-02	1.2405768174e-02	2.9726428064e-02	1.9592496919e-06
203               	1.5783010531e-04	2.1059721228e-02	1.2309779852e-02	2.9834636857e-02	1.9246373704e-06
204               	1.6056144360e-04	2.0501431229e-02	1.2220660203e-02	2.9782524518e-02	1.8835654099e-06
205               	1.5300680571e-04	2.0687996019e-02	1.2103752073e-02	2.9893180284e-02	1.8308923935e-06
206               	1.5542292800e-04	2.0228107313e-02	1.2029721753e-02	2.9800339067e-02	1.7785947675e-06
207               	1.4851394497e-04	2.0255005118e-02	1.1891879017e-02	2.9840562077e-02	1.7415406097e-06
208               	1.5059197679e-04	1.9865928580e-02	1.1826844597e-02	2.9817187731e-02	1.6890474268e-06
209               	1.4462478710e-04	1.9801131048e-02	1.1688855055e-02	2.9962189629e-02	1.6784716323e-06
210               	1.4634995454e-04	1.9509765074e-02	1.1643854239e-02	2.9798042918e-02	1.6321221758e-06
211               	1.4114028239e-04	1.9447180672e-02	1.1505368584e-02	2.9982331948e-02	1.6163157947e-06
212               	1.4299115419e-04	1.9145106903e-02	1.1476907929e-02	2.9856111566e-02	1.5665885432e-06
213               	1.3766316718e-04	1.9120667737e-02	1.1327535936e-02	3.0010597535e-02	1.5416712800e-06
214               	1.3979621976e-04	1.8731879216e-02	1.1282813678e-02	2.9878589418e-02	1.5053253362e-06
215               	1.3444168826e-04	1.8787055892e-02	1.1122653842e-02	3.0034302467e-02	1.4842959148e-06
216               	1.3692826914e-04	1.8304853101e-02	1.1061465490e-02	2.9866098220e-02	1.4560354003e-06
217               	1.3170780210e-04	1.8498905960e-02	1.0904131674e-02	3.0020484477e-02	1.4526903039e-06
218               	1.3407341878e-04	1.7921899499e-02	1.0832917503e-02	2.9930548948e-02	1.4159742283e-06
219               	1.2940838813e-04	1.8244800589e-02	1.0686401836e-02	3.0085124590e-02	1.4191054105e-06
220               	1.3178701942e-04	1.7572360171e-02	1.0602520407e-02	2.9956603736e-02	1.3785533880e-06
221               	1.2781226678e-04	1.7935945185e-02	1.0454549731e-02	3.0070038356e-02	1.4046208159e-06
222               	1.2949331580e-04	1.7230801985e-02	1.0373686854e-02	3.0019524880e-02	1.3577028852e-06
223               	1.2541022310e-04	1.7644520354e-02	1.0235884541e-02	3.0165330167e-02	1.3819646415e-06
224               	1.2693107615e-04	1.6870584912e-02	1.0154323373e-02	3.0006036220e-02	1.3214007505e-06
225               	1.2264444426e-04	1.7335765932e-02	1.0025099451e-02	3.0046172735e-02	1.3389639436e-06
226               	1.2418416829e-04	1.6538838980e-02	9.9456055668e-03	3.0029495150e-02	1.3009453513e-06
227               	1.1976159987e-04	1.7025621338e-02	9.8324908471e-03	3.0138542420e-02	1.3123282506e-06
228               	1.2175510849e-04	1.6219546070e-02	9.7477041859e-03	3.0087996308e-02	1.2801463819e-06
229               	1.1733600849e-04	1.6696814171e-02	9.6441166465e-03	3.0164671951e-02	1.2887345932e-06
230               	1.1962922333e-04	1.5876080682e-02	9.5613206063e-03	3.0067840917e-02	1.2541720691e-06
231               	1.1503827454e-04	1.6299028667e-02	9.4626946593e-03	3.0174526960e-02	1.2574624202e-06
232               	1.1758399045e-04	1.5502427491e-02	9.3898146990e-03	3.0046523477e-02	1.2371259938e-06
233               	1.1259087092e-04	1.5819731230e-02	9.2798046452e-03	3.0191513481e-02	1.2501318648e-06
234               	1.1527064240e-04	1.5123393782e-02	9.2125281547e-03	3.0101695805e-02	1.2434194837e-06
235               	1.1002023912e-04	1.5407397740e-02	9.0883363996e-03	3.0248757047e-02	1.2496938706e-06
236               	1.1261773377e-04	1.4793307191e-02	9.0155288414e-03	3.0117958748e-02	1.2484770548e-06
237               	1.0751220351e-04	1.5051374592e-02	8.8812136602e-03	3.0226310444e-02	1.2385364458e-06
238               	1.0991685496e-04	1.4506309578e-02	8.8301094840e-03	3.0132877867e-02	1.2392778269e-06
239               	1.0483663573e-04	1.4732621915e-02	8.7050386900e-03	3.0233859377e-02	1.2114068237e-06
240               	1.0708496930e-04	1.4267316732e-02	8.6760114392e-03	3.0146146988e-02	1.2185154703e-06
241               	1.0224160382e-04	1.4410794820e-02	8.5428748453e-03	3.0287145130e-02	1.1816248781e-06
242               	1.0420033183e-04	1.4031828241e-02	8.5247785401e-03	3.0158680373e-02	1.1783240779e-06
243               	9.9524325564e-05	1.4118852771e-02	8.3904943066e-03	3.0236528384e-02	1.1263654822e-06
244               	1.0137447850e-04	1.3793984656e-02	8.3772547341e-03	3.0209072750e-02	1.1219931838e-06
245               	9.6876844326e-05	1.3817814824e-02	8.2484169237e-03	3.0321282354e-02	1.0657407204e-06
246               	9.8682625362e-05	1.3558255593e-02	8.2408129255e-03	3.0221236475e-02	1.0703076605e-06
247               	9.4375619449e-05	1.3545334370e-02	8.1227084748e-03	3.0327479529e-02	1.0273002964e-06
248               	9.6277772694e-05	1.3330775860e-02	8.1103700454e-03	3.0234141095e-02	1.0408228015e-06
249               	9.2072965179e-05	1.3305674208e-02	7.9921996283e-03	3.0317343875e-02	1.0045530936e-06
250               	9.4067424495e-05	1.3115793701e-02	7.9695367122e-03	3.0209915139e-02	1.0189835840e-06
251               	9.0150955780e-05	1.3129346839e-02	7.8538448553e-03	3.0364119742e-02	9.9174546859e-07
252               	9.2184716238e-05	1.2901130821e-02	7.8192324283e-03	3.0224192748e-02	1.0027395396e-06
253               	8.8567733800e-05	1.2958136897e-02	7.7066113788e-03	3.0339212448e-02	9.8850366573e-07
254               	9.0348212290e-05	1.2681691937e-02	7.6559459163e-03	3.0277746677e-02	9.9000159295e-07
255               	8.7106001922e-05	1.2796065332e-02	7.5554907092e-03	3.0322056951e-02	9.8427522635e-07
256               	8.8515289260e-05	1.2463472852e-02	7.5001624016e-03	3.0254679186e-02	9.7841982720e-07
257               	8.5543654378e-05	1.2629188490e-02	7.4196249068e-03	3.0368783102e-02	9.7333077787e-07
258               	8.6609800761e-05	1.2232664469e-02	7.3596223914e-03	3.0231208390e-02	9.5344919493e-07
259               	8.4014730903e-05	1.2448239968e-02	7.2929248490e-03	3.0454748681e-02	9.4762390077e-07
260               	8.4853019439e-05	1.1989635061e-02	7.2330883343e-03	3.0323889206e-02	9.2587774430e-07
