# Residuals       
# Time            	Ux                	Uy                	p                 	k                 	omega             
145               	7.0443574306e-04	7.6283839168e-03	1.9568105204e-02	9.8840151810e-05	1.0621902769e-05
146               	6.9439884323e-04	7.5341878129e-03	1.9369480093e-02	9.6037886963e-05	1.0369167456e-05
147               	6.8577476891e-04	7.5158446733e-03	1.9153733325e-02	9.4148192214e-05	1.0185769779e-05
148               	6.7594425542e-04	7.4462576872e-03	1.8934878451e-02	9.1500321951e-05	9.9420828344e-06
149               	6.6728869663e-04	7.3572818886e-03	1.8755054727e-02	8.8837785853e-05	9.6298083407e-06
150               	6.5956235840e-04	7.2043462095e-03	1.8588534132e-02	8.5860958041e-05	9.3500575177e-06
151               	6.5208916637e-04	7.0842465473e-03	1.8388208771e-02	8.3800632202e-05	9.2115302831e-06
152               	6.4307828208e-04	7.0027898317e-03	1.8184520961e-02	8.1347584551e-05	8.9336336465e-06
153               	6.3237172922e-04	6.9598129889e-03	1.7971040317e-02	7.9154743744e-05	8.6679264874e-06
154               	6.2202828445e-04	6.8461456742e-03	1.7768688007e-02	7.6064928194e-05	8.2657036855e-06
155               	6.1192842411e-04	6.7388979184e-03	1.7574653607e-02	7.4104357218e-05	8.0006097001e-06
156               	6.0468751799e-04	6.6478471581e-03	1.7363715265e-02	7.2647620028e-05	7.8044295631e-06
157               	5.9840435624e-04	6.5367028104e-03	1.7160815504e-02	7.1111289829e-05	7.6065398087e-06
158               	5.9353149623e-04	6.4501481249e-03	1.6956564038e-02	6.9811868441e-05	7.4444161447e-06
159               	5.8550923387e-04	6.3681897030e-03	1.6765274973e-02	6.9047810531e-05	7.3931876323e-06
160               	5.7756786395e-04	6.3524066602e-03	1.6583672571e-02	6.8203542299e-05	7.2451246945e-06
161               	5.6854456989e-04	6.2968084696e-03	1.6407319433e-02	6.6839556636e-05	7.0337253314e-06
162               	5.6132220422e-04	6.2197699826e-03	1.6225029080e-02	6.5101735945e-05	6.9032911802e-06
163               	5.5388318504e-04	6.1232395799e-03	1.6057412763e-02	6.3834648463e-05	6.8770114791e-06
164               	5.4571445042e-04	6.0485695313e-03	1.5885863481e-02	6.3005610354e-05	6.8567073323e-06
165               	5.3936823631e-04	5.9908821842e-03	1.5710086038e-02	6.1460338846e-05	6.6921972025e-06
166               	5.3383997284e-04	5.9119022859e-03	1.5543575100e-02	5.9410305604e-05	6.4468331586e-06
167               	5.2788520130e-04	5.8525350069e-03	1.5363808953e-02	5.7515130837e-05	6.2989203869e-06
168               	5.2198488130e-04	5.7531684276e-03	1.5187413312e-02	5.6668957121e-05	6.2495467976e-06
169               	5.1670749923e-04	5.6738402604e-03	1.5007225018e-02	5.5566443415e-05	6.1123789749e-06
170               	5.1175087018e-04	5.6131928303e-03	1.4847565009e-02	5.4079471157e-05	5.9796522231e-06
171               	5.0563799842e-04	5.5540165581e-03	1.4705937633e-02	5.2920525099e-05	5.8733798746e-06
172               	4.9852806899e-04	5.4975261907e-03	1.4564912617e-02	5.1961572937e-05	5.7832640689e-06
