cellI,x,y,z,S,omega,k,nut
21660,0.140125,0,0.000125,6.25e-08,243940.9783,29.90307567,2.179458798e-05
21661,0.140375,0,0.000125,6.25e-08,243717.2114,29.86131511,2.177615713e-05
21662,0.140625,0,0.000125,6.25e-08,243496.6078,29.82015893,2.17579851e-05
21663,0.140875,0,0.000125,6.25e-08,243279.5253,29.77967323,2.174010151e-05
21664,0.141125,0,0.000125,6.25e-08,243066.2802,29.73991638,2.172253254e-05
21665,0.141375,0,0.000125,6.25e-08,242857.1201,29.7009338,2.170529868e-05
21666,0.141625,0,0.000125,6.25e-08,242652.2651,29.66276578,2.168841812e-05
21667,0.141875,0,0.000125,6.25e-08,242451.8971,29.62544546,2.167190588e-05
21668,0.142125,0,0.000125,6.25e-08,242256.1522,29.58899743,2.165577322e-05
21669,0.142375,0,0.000125,6.25e-08,242065.1284,29.55343914,2.164002827e-05
21670,0.142625,0,0.000125,6.25e-08,241878.8678,29.51877767,2.162467461e-05
21671,0.142875,0,0.000125,6.25e-08,241697.4067,29.48501898,2.160971536e-05
21672,0.143125,0,0.000125,6.25e-08,241520.776,29.45216811,2.159515326e-05
21673,0.143375,0,0.000125,6.25e-08,241349.0036,29.4202295,2.158099074e-05
21674,0.143625,0,0.000125,6.25e-08,241182.102,29.38920477,2.156722891e-05
21675,0.143875,0,0.000125,6.25e-08,241020.0677,29.35909256,2.155386756e-05
21676,0.144125,0,0.000125,6.25e-08,240862.878,29.32988795,2.154090481e-05
21677,0.144375,0,0.000125,6.25e-08,240710.4904,29.30158241,2.152833719e-05
21678,0.144625,0,0.000125,6.25e-08,240562.8439,29.274164,2.151615972e-05
21679,0.144875,0,0.000125,6.25e-08,240419.8657,29.24761857,2.150436645e-05
21680,0.145125,0,0.000125,6.25e-08,240281.4757,29.22193067,2.149295088e-05
21681,0.145375,0,0.000125,6.25e-08,240147.5944,29.19708503,2.148190659e-05
21682,0.145625,0,0.000125,6.25e-08,240018.143,29.17306647,2.147122717e-05
21683,0.145875,0,0.000125,6.25e-08,239893.0466,29.14986061,2.146090655e-05
21684,0.146125,0,0.000125,6.25e-08,239772.228,29.12745265,2.145093841e-05
