cellI,cellCenter,surfNorm,body,sigma,order,intPoints,intCells
20479,(0.044875 0.010375 0.000125),(2.785327524e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20479,(0.044875 0.01044849958 0.000125),20079,(0.044875 0.01019641745 0.000125),19679,(0.044875 0.009944335312 0.000125)
20480,(0.045125 0.010375 0.000125),(-4.803268894e-15 -1 2.249919509e-30),0.35821041,-7.349958277e-05,20480,(0.045125 0.01044849958 0.000125),20080,(0.045125 0.01019641745 0.000125),19680,(0.045125 0.009944335312 0.000125)
20481,(0.045375 0.010375 0.000125),(2.557953849e-16 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20481,(0.045375 0.01044849958 0.000125),20081,(0.045375 0.01019641745 0.000125),19681,(0.045375 0.009944335312 0.000125)
20482,(0.045625 0.010375 0.000125),(-1.932676241e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20482,(0.045625 0.01044849958 0.000125),20082,(0.045625 0.01019641745 0.000125),19682,(0.045625 0.009944335312 0.000125)
20483,(0.045875 0.010375 0.000125),(8.810729923e-16 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20483,(0.045875 0.01044849958 0.000125),20083,(0.045875 0.01019641745 0.000125),19683,(0.045875 0.009944335312 0.000125)
20484,(0.046125 0.010375 0.000125),(-2.813749234e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20484,(0.046125 0.01044849958 0.000125),20084,(0.046125 0.01019641745 0.000125),19684,(0.046125 0.009944335312 0.000125)
20485,(0.046375 0.010375 0.000125),(2.216893336e-15 -1 2.168404345e-16),0.35821041,-7.349958277e-05,20485,(0.046375 0.01044849958 0.000125),20085,(0.046375 0.01019641745 0.000125),19685,(0.046375 0.009944335312 0.000125)
20486,(0.046625 0.010375 0.000125),(-2.188471626e-15 -1 1.626303259e-16),0.35821041,-7.349958277e-05,20486,(0.046625 0.01044849958 0.000125),20086,(0.046625 0.01019641745 0.000125),19686,(0.046625 0.009944335312 0.000125)
20487,(0.046875 0.010375 0.000125),(2.50111043e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20487,(0.046875 0.01044849958 0.000125),20087,(0.046875 0.01019641745 0.000125),19687,(0.046875 0.009944335312 0.000125)
20488,(0.047125 0.010375 0.000125),(-6.735945135e-15 -1 -1.232595164e-32),0.35821041,-7.349958277e-05,20488,(0.047125 0.01044849958 0.000125),20088,(0.047125 0.01019641745 0.000125),19688,(0.047125 0.009944335312 0.000125)
20489,(0.047375 0.010375 0.000125),(-8.526512829e-16 -1 -2.820966597e-30),0.35821041,-7.349958277e-05,20489,(0.047375 0.01044849958 0.000125),20089,(0.047375 0.01019641745 0.000125),19689,(0.047375 0.009944335312 0.000125)
20490,(0.047625 0.010375 0.000125),(-8.98126018e-15 -1 -5.421010862e-17),0.35821041,-7.349958277e-05,20490,(0.047625 0.01044849958 0.000125),20090,(0.047625 0.01019641745 0.000125),19690,(0.047625 0.009944335312 0.000125)
20491,(0.047875 0.010375 0.000125),(-3.694822226e-15 -1 -5.421010862e-17),0.35821041,-7.349958277e-05,20491,(0.047875 0.01044849958 0.000125),20091,(0.047875 0.01019641745 0.000125),19691,(0.047875 0.009944335312 0.000125)
20492,(0.048125 0.010375 0.000125),(4.206412996e-15 -1 5.421010862e-17),0.35821041,-7.349958277e-05,20492,(0.048125 0.01044849958 0.000125),20092,(0.048125 0.01019641745 0.000125),19692,(0.048125 0.009944335312 0.000125)
20493,(0.048375 0.010375 0.000125),(4.774847184e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20493,(0.048375 0.01044849958 0.000125),20093,(0.048375 0.01019641745 0.000125),19693,(0.048375 0.009944335312 0.000125)
20494,(0.048625 0.010375 0.000125),(-3.922195901e-15 -1 1.084202172e-16),0.35821041,-7.349958277e-05,20494,(0.048625 0.01044849958 0.000125),20094,(0.048625 0.01019641745 0.000125),19694,(0.048625 0.009944335312 0.000125)
