cellI,x,y,z,sigma_xx,sigma_xy,sigma_xz,sigma_yy,sigma_yz,sigma_zz
169,0.017375,0.000375,0.000125,10.46132245,-3.385731825,-0,10.33609161,-0,10.40368276
170,0.017625,0.000375,0.000125,10.52963355,-3.458127226,-0,10.40499887,-0,10.47199266
171,0.017875,0.000375,0.000125,10.59764808,-3.530756311,-0,10.47397844,-0,10.54018312
172,0.018125,0.000375,0.000125,10.66535234,-3.603631576,-0,10.5431362,-0,10.60828366
173,0.018375,0.000375,0.000125,10.7326668,-3.67670265,-0,10.61263797,-0,10.67628656
174,0.018625,0.000375,0.000125,10.79959096,-3.749875436,-0,10.68247796,-0,10.74424651
175,0.018875,0.000375,0.000125,10.86608098,-3.823078354,-0,10.75270833,-0,10.81216427
176,0.019125,0.000375,0.000125,10.93205195,-3.896248286,-0,10.82339356,-0,10.88002037
177,0.019375,0.000375,0.000125,10.9973775,-3.969307213,-0,10.89459846,-0,10.94777866
178,0.019625,0.000375,0.000125,11.06188805,-4.042155855,-0,10.96638472,-0,11.01538054
179,0.019875,0.000375,0.000125,11.12536323,-4.114668493,-0,11.03880926,-0,11.08274
180,0.020125,0.000375,0.000125,11.18752339,-4.186679675,-0,11.11191627,-0,11.14974174
181,0.020375,0.000375,0.000125,11.24802451,-4.257980505,-0,11.18572521,-0,11.21623686
182,0.020625,0.000375,0.000125,11.30643532,-4.328290946,-0,11.26024623,-0,11.28201847
183,0.020875,0.000375,0.000125,11.3622149,-4.397267836,-0,11.33547729,-0,11.34679295
184,0.021125,0.000375,0.000125,11.41466934,-4.464471901,-0,11.41131651,-0,11.41018448
185,0.021375,0.000375,0.000125,11.46261864,-4.529349808,-0,11.48829789,-0,11.47149248
186,0.021625,0.000375,0.000125,11.50473856,-4.591301462,-0,11.56638351,-0,11.53020753
187,0.021875,0.000375,0.000125,11.53825014,-4.649129665,-0,11.64564296,-0,11.58452645
188,0.022125,0.000375,0.000125,11.56212637,-4.701172623,-0,11.72439186,-0,11.63411399
189,0.022375,0.000375,0.000125,11.57758281,-4.745866029,-0,11.80827814,-0,11.68111748
190,0.022625,0.000375,0.000125,11.58290577,-4.780911075,-0,11.89561004,-0,11.72536823
191,0.022875,0.000375,0.000125,11.57214641,-4.801573799,-0,11.99099354,-0,11.76340836
192,0.023125,0.000375,0.000125,11.54046418,-4.801192147,-0,12.09405832,-0,11.79372315
193,0.023375,0.000375,0.000125,11.48126497,-4.766009557,-0,12.20462793,-0,11.81293892
194,0.023625,0.000375,0.000125,11.38367095,-4.675062547,-0,12.32427288,-0,11.81520769
195,0.023875,0.000375,0.000125,11.23554908,-4.505671289,-0,12.45377558,-0,11.79120516
196,0.024125,0.000375,0.000125,11.02477531,-4.162889195,-0,12.58416256,-0,11.72492514
197,0.024375,0.000375,0.000125,10.75873751,-3.585690753,-0,12.70753526,-0,11.57527549
198,0.024625,0.000375,0.000125,10.49504591,-2.676894552,-0,12.7069258,-0,11.35305019
199,0.024875,0.000375,0.000125,10.2016684,-1.167084743,-0,12.83524862,-0,10.82762104
200,0.000125,0.000625,0.000125,3.870939525,-0.2672001867,-0,4.160171214,-0,3.964577309
201,0.000375,0.000625,0.000125,3.752217863,-0.08185349183,-0,4.279079066,-0,3.962259843
202,0.000625,0.000625,0.000125,3.74076364,0.01095744281,-0,4.279515226,-0,3.973747427
203,0.000875,0.000625,0.000125,3.769250801,0.02044087283,-0,4.250376025,-0,3.977530932
204,0.001125,0.000625,0.000125,3.798167737,0.01491723502,-0,4.223691777,-0,3.98111288
205,0.001375,0.000625,0.000125,3.822586479,0.004492309579,-0,4.201377387,-0,3.987491557
206,0.001625,0.000625,0.000125,3.846079499,-0.01196523214,-0,4.182072273,-0,3.994415465
207,0.001875,0.000625,0.000125,3.868215104,-0.03371395514,-0,4.167022817,-0,4.001022201
208,0.002125,0.000625,0.000125,3.888392193,-0.05864298256,-0,4.155483796,-0,4.008604135
209,0.002375,0.000625,0.000125,3.907219046,-0.08522712521,-0,4.147164327,-0,4.016788097
210,0.002625,0.000625,0.000125,3.924655542,-0.1123106194,-0,4.141681071,-0,4.025938425
211,0.002875,0.000625,0.000125,3.94780507,-0.1247557513,-0,4.136025749,-0,4.031884659
212,0.003125,0.000625,0.000125,3.980220171,-0.1097115132,-0,4.127522406,-0,4.033656835
213,0.003375,0.000625,0.000125,4.004592761,-0.1000415416,-0,4.123999297,-0,4.040670613
214,0.003625,0.000625,0.000125,4.02415834,-0.09241518859,-0,4.124562543,-0,4.050518192
215,0.003875,0.000625,0.000125,4.042003681,-0.08528578482,-0,4.127412199,-0,4.061840466
216,0.004125,0.000625,0.000125,4.059024711,-0.07877106488,-0,4.131989862,-0,4.074223973
217,0.004375,0.000625,0.000125,4.075587989,-0.07290373672,-0,4.138075182,-0,4.087444121
218,0.004625,0.000625,0.000125,4.091967245,-0.06774878696,-0,4.145459688,-0,4.101354906
219,0.004875,0.000625,0.000125,4.108036357,-0.06680432478,-0,4.154131561,-0,4.116015325
220,0.005125,0.000625,0.000125,4.122481967,-0.0884027588,-0,4.164610168,-0,4.132152015
221,0.005375,0.000625,0.000125,4.137687532,-0.109366108,-0,4.175677798,-0,4.148516707
222,0.005625,0.000625,0.000125,4.153461238,-0.130267905,-0,4.187557294,-0,4.164996642
223,0.005875,0.000625,0.000125,4.169709296,-0.1509577566,-0,4.200212598,-0,4.181639584
224,0.006125,0.000625,0.000125,4.186417775,-0.1716848109,-0,4.213491067,-0,4.19852973
225,0.006375,0.000625,0.000125,4.203592516,-0.1921058853,-0,4.227291546,-0,4.215678984
226,0.006625,0.000625,0.000125,4.221191533,-0.2128473802,-0,4.241561307,-0,4.233100422
227,0.006875,0.000625,0.000125,4.239174367,-0.2334101878,-0,4.256314661,-0,4.250738288
